Vehicle_ID,Fuel_Remaining_L,Ethanol_Blend,Speed_kmph,RPM,Temperature_C,AC,Traffic_Level,Vehicle_Load_kg,Acceleration,Driving_Time_hr,Distance_Travelled_km,Fuel_Consumed_L,Road_City,Road_Highway,Road_Rural,Fuel_Efficiency_kmpl,Consumption_Rate_Lpkm,Fuel_Per_Hour_L,Traffic_Score,Driving_Intensity,AC_Load_Indicator,Remaining_Range_km,Remaining_Time_hr
CAR104,11.21,10,45.9,2372.0,26.9,0,0,262.9,0.44,3.77,178.42,10.6495,1,0,0,16.753838208366588,0.05968781526734671,2.8248010610079577,0.3,0.3609153439153439,0.0,187.81052631578947,4.091732599472538
CAR003,20.02,0,46.1,2683.0,22.3,1,2,334.0,0.7,0.81,38.68,5.02,1,0,0,7.705179282868526,0.12978283350568767,6.19753086419753,1.3,0.47239153439153436,0.46458333333333335,154.2576892430279,3.3461537796752254
CAR013,12.56,20,30.2,1710.0,30.7,1,0,332.1,0.72,2.13,66.41,10.323,1,0,0,6.433207400949336,0.155443457310646,4.8464788732394375,0.3,0.404021164021164,0.6395833333333333,80.80108495592367,2.675532614434559
CAR085,44.57,85,68.1,1246.0,21.3,0,1,233.3,0.12,0.98,64.24,20.505,1,0,0,3.1328944159960983,0.3191936488169365,20.9234693877551,0.8,0.2298888888888889,0.0,139.63310412094611,2.0504126890006775
CAR054,33.74,10,52.1,1274.0,21.7,0,0,151.7,0.33,0.69,34.72,3.365,0,0,1,10.317979197622584,0.09691820276497697,4.876811594202899,0.1,0.2793703703703703,0.0,348.128618127786,6.681931250053474
CAR062,39.95,0,33.7,1643.0,27.85,1,0,168.5,0.81,1.75,52.39,5.086,1,0,0,10.300825796303577,0.09707959534262264,2.9062857142857146,0.3,0.4406455026455027,0.5802083333333333,411.51799056232795,12.211216337161066
CAR190,9.51,10,64.8,2134.0,32.3,1,2,236.4,0.14,3.38,206.12,9.0345,1,0,0,22.814765620676297,0.04383126334174267,2.6729289940828402,1.3,0.2734708994708995,0.6729166666666666,216.96842105263158,3.348278102664068
CAR185,24.55,0,180.0,2290.0,19.9,1,2,114.1,0.11,2.16,157.61,16.941,1,0,0,9.30346496664896,0.10748683459171371,7.843055555555554,1.3,0.4831216931216931,0.4145833333333333,228.40006493123198,1.2688892496179554
CAR177,28.62,0,61.8,2208.0,37.5,1,2,301.6,0.33,3.28,212.41,25.73,1,0,0,8.255343956471044,0.12113365660750436,7.844512195121951,1.3,0.3418095238095238,0.78125,236.2679440342013,3.823105890521057
CAR174,9.72,10,65.2,2208.0,22.1,0,2,369.4,0.55,1.4,92.96,9.234,0,0,1,10.06714316655837,0.0993330464716007,6.595714285714286,1.1,0.4295873015873016,0.0,97.85263157894737,1.5008072328059412
CAR182,21.39,0,43.5,2418.0,30.3,1,2,229.0,0.17,2.03,79.18,8.932,1,0,0,8.864755933721451,0.11280626420813336,4.4,1.3,0.25866137566137565,0.63125,189.61712942230184,4.359014469478203
CAR051,26.88,0,21.2,1397.0,24.5,1,1,193.2,0.09,2.13,41.11,3.454,1,0,0,11.902142443543717,0.08401848698613476,1.6215962441314555,0.8,0.1391164021164021,0.5104166666666666,319.9295888824551,15.091018343512033
CAR128,7.07,10,60.1,1954.0,33.1,1,2,72.9,0.76,0.62,35.62,4.793,0,1,0,7.4316711871479235,0.13455923638405393,7.730645161290323,1.0,0.48582539682539677,0.6895833333333333,52.54191529313582,0.8742415190205628
CAR173,8.72,20,18.8,2738.0,27.85,0,0,229.9,0.88,4.42,81.51,8.284,0,0,1,9.839449541284404,0.10163170163170164,1.8742081447963803,0.1,0.49112169312169307,0.0,85.80000000000001,4.563829787234043
CAR118,32.27,10,31.9,3669.0,32.9,1,2,270.3,0.78,2.39,79.07,13.44,1,0,0,5.883184523809524,0.16997597065890985,5.623430962343096,1.3,0.5226772486772487,0.6854166666666667,189.85036458333335,5.951422087251829
CAR191,42.37,20,72.2,974.0,46.2,1,0,108.5,0.46,0.75,48.03,7.91,1,0,0,6.072060682680152,0.16468873620653757,10.546666666666667,0.3,0.3504550264550265,0.9625,257.273211125158,3.5633408743096675
CAR041,40.79,10,49.8,2965.0,48.0,1,0,394.7,0.09,2.14,110.35,15.623,0,0,1,7.063304102925175,0.14157680108744902,7.300467289719625,0.1,0.26674603174603173,1.0,288.1121743583179,5.78538502727546
CAR081,26.51,10,38.4,1117.0,19.0,0,1,376.4,0.18,3.38,136.18,15.892,1,0,0,8.569091366725397,0.11669848729622558,4.701775147928994,0.8,0.19096825396825398,0.0,227.16661213189028,5.915797190934643
CAR169,12.86,85,38.4,3174.0,22.7,0,0,361.8,0.11,3.87,130.25,12.217,0,0,1,10.661373495948268,0.09379654510556622,3.1568475452196383,0.1,0.26299470899470895,0.0,137.10526315789474,3.570449561403509
CAR138,28.09,20,46.7,2123.0,28.4,1,0,154.7,0.44,0.46,21.04,3.442,1,0,0,6.112725159790819,0.16359315589353612,7.482608695652174,0.3,0.3505396825396825,0.5916666666666667,171.7064497385241,3.6767976389405588
CAR171,14.72,10,69.0,1248.0,35.6,0,0,259.3,0.23,2.35,148.04,11.128,0,1,0,13.303378864126527,0.07516887327749257,4.73531914893617,0.0,0.27239153439153435,0.0,195.8257368799425,2.838054157680326
CAR172,43.91,10,49.6,2291.0,12.0,1,0,294.4,0.89,2.08,101.66,14.415,1,0,0,7.052375997225113,0.14179618335628566,6.930288461538461,0.3,0.5305767195767196,0.25,309.66983003815466,6.243343347543441
CAR069,7.86,20,50.4,3130.0,26.2,0,1,345.9,0.36,3.79,172.54,7.467,0,1,0,23.107004151600375,0.043276921293613074,1.9701846965699208,0.5,0.37571428571428567,0.0,181.62105263157895,3.60359231411863
CAR058,37.3,10,62.5,2019.0,19.7,1,2,72.1,0.55,3.84,222.89,33.682,1,0,0,6.617481147200285,0.15111489972632242,8.771354166666667,1.3,0.41558730158730156,0.41041666666666665,246.8320467905706,3.9493127486491293
CAR064,14.53,20,52.6,2681.0,13.8,0,1,368.7,0.44,1.5,73.63,11.173,0,0,1,6.589993734896625,0.15174521254923265,7.448666666666667,0.6,0.388037037037037,0.0,95.75260896804795,1.8203918054761967
CAR173,3.03,10,68.8,1700.0,17.0,0,0,344.1,0.77,1.82,114.35,2.8785,0,1,0,39.72555150251868,0.025172715347616965,1.5815934065934065,0.0,0.4935449735449735,0.0,120.36842105263159,1.7495410036719707
CAR059,6.91,0,70.5,1723.0,23.8,1,2,246.7,0.14,1.23,85.08,6.5645,0,1,0,12.960621524868612,0.07715679360601786,5.336991869918699,1.0,0.26445502645502644,0.49583333333333335,89.55789473684212,1.2703247480403137
CAR050,2.63,0,61.5,1188.0,16.5,1,2,371.9,0.32,1.61,100.04,2.4985,0,0,1,40.0,0.024975009996001597,1.551863354037267,1.1,0.28897883597883595,0.34375,105.19999999999999,1.7105691056910568
CAR014,11.85,0,180.0,2326.0,27.85,0,0,151.2,0.6,2.17,166.05,11.2575,1,0,0,14.750166555629582,0.06779584462511291,5.18778801843318,0.3,0.6663174603174603,0.0,174.78947368421055,0.9710526315789475
CAR075,2.97,0,71.6,2351.0,15.5,1,0,85.2,0.17,3.17,208.6,2.8215,0,0,1,40.0,0.01352588686481304,0.8900630914826498,0.1,0.3075079365079365,0.3229166666666667,118.80000000000001,1.6592178770949724
CAR190,10.61,20,26.1,2559.0,40.2,1,1,70.6,0.74,2.55,56.65,10.0795,0,0,1,5.620318468177985,0.17792586054721976,3.9527450980392156,0.6,0.4442645502645502,0.8375,59.631578947368425,2.284734825569671
CAR090,26.16,20,32.5,2837.0,12.2,0,0,72.1,0.51,3.17,99.83,12.892,0,1,0,7.743561898852001,0.12913953721326255,4.066876971608833,0.0,0.38416931216931216,0.0,202.57157927396835,6.232971669968257
CAR031,31.14,0,74.7,2208.0,23.8,0,1,90.9,0.21,2.84,207.41,15.841,0,1,0,13.093239063190456,0.07637529530880864,5.57781690140845,0.5,0.3212539682539683,0.0,407.7234644277508,5.458145440799877
CAR089,21.17,20,81.7,2187.0,33.9,0,0,371.4,0.37,0.29,23.46,3.165,1,0,0,7.412322274881517,0.13491048593350383,10.913793103448278,0.3,0.3924761904761905,0.0,156.91886255924175,1.92067151235302
CAR157,44.44,10,60.6,4044.0,38.1,1,2,321.1,0.19,1.5,92.99,12.664,0,1,0,7.342861655085281,0.13618668674050974,8.442666666666666,1.0,0.3751640211640212,0.7937500000000001,326.3167719519899,5.384765213729206
CAR096,3.38,20,50.9,1840.0,36.2,0,2,428.7,0.44,0.46,22.11,3.211,0,1,0,6.885705387729679,0.14522840343735866,6.980434782608695,1.0,0.3448412698412699,0.0,23.273684210526316,0.4572433047254679
CAR170,5.45,20,67.0,3629.0,16.6,1,1,224.0,0.27,2.43,166.75,5.1775,1,0,0,32.20666344760985,0.031049475262368818,2.1306584362139915,0.8,0.3968835978835979,0.3458333333333334,175.52631578947367,2.6197957580518456
CAR020,37.12,20,47.7,1266.0,28.3,1,2,347.4,0.57,1.46,61.74,10.241,0,1,0,6.028708133971293,0.16587301587301587,7.014383561643836,1.0,0.35973015873015873,0.5895833333333333,223.78564593301437,4.691522975534892
CAR025,27.96,20,56.9,4206.0,10.6,1,1,324.0,0.49,2.3,117.28,16.548,0,1,0,7.087261300459271,0.1410982264665757,7.194782608695652,0.5,0.48713756613756615,0.22083333333333333,198.1598259608412,3.4825979957968576
CAR171,33.88,10,75.2,2011.0,30.9,0,1,164.5,0.43,2.11,162.16,20.94,1,0,0,7.744030563514803,0.1291317217562901,9.924170616113745,0.8,0.3942804232804233,0.0,262.36775549188155,3.4889329187750207
CAR128,25.39,10,46.6,2797.0,10.8,1,1,340.6,0.82,0.99,47.93,7.467,1,0,0,6.418909870095085,0.15578969330273315,7.542424242424242,0.8,0.5231904761904761,0.225,162.97612160171423,3.4973416652728373
CAR116,20.2,20,41.9,2500.0,24.1,0,0,431.3,0.85,4.02,166.35,19.19,1,0,0,8.668577384054194,0.11535918244664864,4.77363184079602,0.3,0.5114550264550265,0.0,175.1052631578947,4.1791232257254105
CAR055,21.09,20,50.0,2600.0,24.9,1,1,128.3,0.23,4.49,171.01,20.0355,0,0,1,8.535349754186319,0.11715981521548448,4.462249443207127,0.6,0.30158730158730157,0.5187499999999999,180.01052631578946,3.6002105263157893
CAR120,24.94,0,40.5,2514.0,36.9,1,2,433.0,0.36,1.73,65.3,6.965,0,1,0,9.375448671931084,0.10666156202143952,4.026011560693641,1.0,0.3280476190476191,0.7687499999999999,233.82368987796124,5.773424441431142
CAR033,18.98,85,54.6,1307.0,16.5,0,1,254.3,0.24,4.02,190.45,18.031,1,0,0,10.562364816149964,0.09467576791808874,4.485323383084578,0.8,0.25223809523809526,0.0,200.47368421052633,3.6716791979949877
CAR163,15.33,10,37.1,1641.0,29.9,0,2,269.4,0.37,2.4,89.98,11.252,0,0,1,7.996800568787771,0.1250500111135808,4.6883333333333335,1.1,0.2838835978835979,0.0,122.59095271951654,3.304338348234947
CAR131,12.05,20,40.7,700.0,32.6,1,1,100.7,0.77,2.02,69.98,10.333,0,1,0,6.772476531501017,0.14765647327807946,5.115346534653465,0.5,0.3938888888888889,0.6791666666666667,81.60834220458726,2.0051189730856818
CAR118,26.49,10,45.1,3542.0,27.2,0,1,346.5,0.11,0.8,37.3,4.443,0,0,1,8.395228449246005,0.11911528150134049,5.553749999999999,0.6,0.292925925925926,0.0,222.38960162052666,4.931033295355358
CAR164,26.1,20,57.8,2714.0,29.4,0,2,280.4,0.21,2.19,117.88,18.458,0,1,0,6.386390724888938,0.15658296572785882,8.428310502283104,1.0,0.3140529100529101,0.0,166.6847979196013,2.8838200332110953
CAR046,42.99,10,50.0,2024.0,23.6,0,1,303.4,0.48,0.29,17.57,2.169,1,0,0,8.1005071461503,0.1234490608992601,7.479310344827587,0.8,0.3667513227513228,0.0,348.24080221300136,6.9648160442600275
CAR041,34.38,85,42.0,1486.0,19.1,1,2,372.6,0.59,4.43,168.61,32.661,1,0,0,5.162426135145893,0.19370737204199037,7.372686230248307,1.3,0.36705820105820103,0.3979166666666667,177.4842105263158,4.225814536340852
CAR119,19.42,20,52.2,2307.0,37.6,0,2,329.8,0.74,2.19,116.37,18.095,0,1,0,6.431058303398729,0.15549540259517056,8.262557077625571,1.0,0.48059788359788363,0.0,124.89115225200334,2.392550809425351
CAR163,44.03,0,62.3,3003.0,23.3,0,2,158.4,0.37,3.58,213.37,19.567,0,1,0,10.904584248990648,0.09170455078033463,5.465642458100558,1.0,0.39540740740740743,0.0,480.1288444830583,7.706723025410246
CAR092,44.69,10,17.9,2871.0,32.8,0,2,166.5,0.89,4.27,70.54,8.935,0,1,0,7.8947957470621155,0.12666572157641054,2.092505854800937,1.0,0.4994920634920635,0.0,352.81842193620594,19.71052636515117
CAR064,6.32,0,83.0,2208.0,19.4,1,2,174.3,0.25,3.7,292.51,6.004,0,0,1,40.0,0.02052579398994906,1.6227027027027026,1.1,0.35143915343915344,0.4041666666666666,252.8,3.045783132530121
CAR054,6.39,10,29.2,2205.0,24.6,0,0,313.6,0.09,3.73,103.36,6.070499999999999,0,1,0,17.02660406885759,0.058731617647058816,1.6274798927613938,0.0,0.1924074074074074,0.0,108.8,3.7260273972602738
CAR028,42.35,85,62.9,2208.0,18.7,0,2,342.8,0.7,2.86,153.23,35.01175,1,0,0,4.37653073611002,0.22849148339098088,12.241870629370629,1.3,0.48088359788359786,0.0,185.34607667425934,2.94667848448743
CAR084,9.0,20,49.1,2043.0,36.9,1,2,211.1,0.83,1.41,60.44,8.549999999999999,0,0,1,7.069005847953217,0.14146260754467238,6.0638297872340425,1.1,0.49561904761904757,0.7687499999999999,63.62105263157895,1.2957444527816486
CAR116,7.39,10,77.8,2718.0,27.85,1,1,329.6,0.54,2.55,173.81,7.020499999999999,1,0,0,24.757495904850085,0.04039180714573384,2.7531372549019606,0.8,0.4735026455026455,0.5802083333333333,182.95789473684212,2.3516438912190503
CAR161,43.38,20,66.1,1761.0,23.5,1,0,310.8,0.15,1.22,69.94,9.608,1,0,0,7.279350541215653,0.13737489276522735,7.875409836065574,0.3,0.2618201058201058,0.4895833333333333,315.77822647793505,4.77728027954516
CAR013,5.84,20,58.9,1223.0,26.8,0,2,424.2,0.37,0.86,46.96,5.548,0,1,0,8.464311463590484,0.11814310051107325,6.4511627906976745,1.0,0.3043492063492063,0.0,49.43157894736842,0.8392458225359665
CAR170,6.56,20,63.2,2688.0,27.85,0,2,278.1,0.09,4.16,234.74,6.231999999999999,1,0,0,37.66688061617459,0.02654852176876544,1.4980769230769229,1.3,0.2783703703703704,0.0,247.09473684210528,3.9097268487674883
CAR191,7.26,20,56.5,2915.0,28.3,0,2,419.0,0.36,2.24,128.05,6.896999999999999,0,1,0,18.566043207191537,0.05386177274502146,3.0790178571428566,1.0,0.3767724867724867,0.0,134.78947368421055,2.385654401490452
CAR100,28.03,0,57.4,2575.0,27.85,1,0,387.6,0.69,3.49,203.4,24.162,1,0,0,8.418177303203377,0.11879056047197639,6.923209169054441,0.3,0.4844708994708995,0.5802083333333333,235.96150980879068,4.1108276970172595
CAR025,8.34,10,68.1,2201.0,22.6,1,1,208.8,0.77,3.52,229.82,7.922999999999999,0,1,0,29.00668938533384,0.03447480637020277,2.2508522727272724,0.5,0.5161058201058201,0.4708333333333334,241.9157894736842,3.552361078908726
CAR113,24.95,0,54.6,2080.0,24.9,1,2,276.8,0.64,1.36,67.45,7.171,0,1,0,9.405940594059405,0.10631578947368421,5.2727941176470585,1.0,0.4371957671957672,0.5187499999999999,234.67821782178217,4.298135857541798
CAR083,23.36,10,26.8,1692.0,38.9,0,1,132.8,0.83,2.32,60.33,8.297,0,1,0,7.2713028805592375,0.1375269351897895,3.5762931034482763,0.5,0.4376084656084656,0.0,169.8576352898638,6.3379714660396935
CAR050,6.4,20,36.4,1863.0,39.6,1,0,210.0,0.69,1.39,51.66,6.08,0,0,1,8.49671052631579,0.11769260549748356,4.374100719424461,0.1,0.41167724867724864,0.8250000000000001,54.37894736842105,1.4939271255060729
CAR131,42.92,10,49.4,2208.0,36.7,0,1,314.9,0.1,1.31,58.6,6.502,0,0,1,9.012611504152568,0.1109556313993174,4.963358778625953,0.6,0.23366137566137568,0.0,386.82128575822827,7.830390399964135
CAR056,39.7,20,63.4,869.0,28.3,1,1,141.3,0.14,0.32,17.66,2.495,1,0,0,7.07815631262525,0.1412797281993205,7.796875,0.8,0.21064021164021163,0.5895833333333333,281.00280561122247,4.432220908694361
CAR092,37.92,85,65.9,1679.0,17.9,0,1,414.1,0.75,0.8,50.16,17.594,1,0,0,2.8509719222462198,0.3507575757575758,21.9925,0.8,0.4797671957671958,0.0,108.10885529157666,1.640498562846383
CAR086,29.85,20,5.0,2579.0,21.6,0,2,382.2,0.4,2.63,12.44,2.113,0,0,1,5.887363937529579,0.16985530546623795,0.8034220532319392,1.1,0.2802169312169312,0.0,175.73781353525794,35.14756270705159
CAR155,39.9,0,31.5,2525.0,34.5,0,2,282.9,0.65,4.15,129.57,15.991,1,0,0,8.102682759051966,0.12341591417766459,3.8532530120481923,1.3,0.4193121693121693,0.0,323.2970420861734,10.263398161465823
CAR030,38.31,0,46.5,805.0,22.7,1,1,137.9,0.37,1.74,70.78,5.573,0,0,1,12.7005203660506,0.07873693133653575,3.202873563218391,0.6,0.2614814814814815,0.47291666666666665,486.5569352233985,10.463590004804269
CAR189,40.44,10,69.6,2444.0,20.8,0,0,444.9,0.52,2.48,147.13,15.498,0,0,1,9.493483030068395,0.10533541765785359,6.249193548387097,0.1,0.4378624338624339,0.0,383.9164537359659,5.516041001953534
CAR047,10.54,20,56.0,2349.0,19.6,0,0,253.8,0.07,4.04,225.16,10.012999999999998,1,0,0,22.486767202636575,0.04447059868537928,2.478465346534653,0.3,0.2414867724867725,0.0,237.0105263157895,4.23233082706767
CAR024,8.16,20,46.3,1819.0,17.8,0,1,282.5,0.7,4.17,201.36,7.752,1,0,0,25.975232198142418,0.03849821215733015,1.8589928057553957,0.8,0.43161904761904757,0.0,211.95789473684215,4.577924292372401
CAR182,31.92,10,33.1,1768.0,30.5,1,1,283.8,0.49,2.96,85.4,11.533,1,0,0,7.404838290123993,0.13504683840749412,3.8962837837837836,0.8,0.32696825396825396,0.6354166666666666,236.36243822075787,7.140859160747971
CAR182,3.94,10,48.6,1805.0,26.6,0,1,211.7,0.07,4.13,178.6,3.743,0,1,0,40.0,0.020957446808510638,0.9062953995157385,0.5,0.20187830687830688,0.0,157.6,3.242798353909465
CAR179,43.5,10,49.4,2280.0,26.9,1,0,291.8,0.88,2.76,125.63,15.563,1,0,0,8.072351089121634,0.1238796465812306,5.63876811594203,0.3,0.5259788359788359,0.5604166666666667,351.1472723767911,7.108244380096986
CAR188,17.54,20,33.9,2222.0,40.7,0,1,75.1,0.53,4.43,154.51,16.662999999999997,1,0,0,9.272639980795777,0.10784415248203998,3.7613995485327307,0.8,0.36488359788359787,0.0,162.64210526315793,4.797702220152152
CAR069,8.96,10,81.2,2208.0,20.5,0,1,147.7,0.71,3.92,322.92,8.512,0,0,1,37.93703007518797,0.026359469837730708,2.1714285714285717,0.6,0.5184761904761904,0.0,339.91578947368424,4.186155042779363
CAR085,32.04,20,73.2,3819.0,27.6,0,1,377.0,0.24,0.92,68.37,11.001,1,0,0,6.214889555494956,0.1609039052215884,11.957608695652173,0.8,0.40630158730158733,0.0,199.1250613580584,2.7202877234707428
CAR170,26.21,10,20.3,1699.0,38.7,0,1,168.4,0.6,2.22,46.38,5.608,0,1,0,8.270328102710415,0.12091418714963345,2.5261261261261256,0.5,0.3407195767195767,0.0,216.76529957204,10.67809357497734
CAR037,24.47,10,80.5,1981.0,18.6,1,2,308.4,0.14,1.7,135.73,17.402,0,0,1,7.799678197908285,0.12821041774110367,10.236470588235296,1.1,0.2952592592592593,0.3875,190.85812550281574,2.370908391339326
CAR171,5.3,0,28.4,2968.0,12.2,1,0,181.1,0.73,3.58,96.28,5.034999999999999,1,0,0,19.122144985104274,0.05229538845035313,1.4064245810055864,0.3,0.46429629629629626,0.25416666666666665,101.34736842105265,3.5685693106004455
CAR185,34.94,0,81.6,1192.0,44.7,1,0,260.6,0.06,1.88,135.59,10.607,0,1,0,12.78306778542472,0.0782284829264695,5.642021276595744,0.0,0.2300952380952381,0.93125,446.6403884227397,5.473534171847301
CAR166,2.55,10,47.9,2919.0,32.5,1,1,308.9,0.34,1.36,58.41,2.4225,0,0,1,24.111455108359134,0.04147406266050334,1.7812499999999998,0.6,0.35362962962962957,0.6770833333333334,61.48421052631579,1.2835952093176575
CAR047,33.37,20,76.6,2396.0,30.0,1,2,268.4,0.85,3.05,236.07,31.7015,0,1,0,7.446650789394823,0.13428855847841742,10.393934426229508,1.0,0.5707619047619047,0.625,248.49473684210523,3.2440566167376663
CAR134,20.09,10,46.1,2495.0,31.1,1,1,259.3,0.16,2.12,93.65,13.204,1,0,0,7.092547712814299,0.1409930592632141,6.228301886792453,0.8,0.2634391534391534,0.6479166666666667,142.48928355043927,3.0908738297275327
CAR170,2.75,10,43.0,2281.0,30.8,0,1,325.3,0.62,1.44,57.36,2.6125,1,0,0,21.955980861244022,0.04554567642956764,1.8142361111111112,0.8,0.4178783068783069,0.0,60.37894736842106,1.4041615667074665
CAR056,14.35,0,46.8,2704.0,15.9,0,1,358.6,0.3,2.82,135.53,13.6325,1,0,0,9.941683476985146,0.10058658599572051,4.834219858156029,0.8,0.3265396825396825,0.0,142.66315789473683,3.048358074673864
CAR043,30.83,10,34.2,1713.0,22.2,1,1,277.4,0.58,4.34,137.08,18.349,1,0,0,7.470706850509565,0.13385614239859936,4.227880184331798,0.8,0.35971957671957666,0.46249999999999997,230.32189220120986,6.734558251497364
CAR179,31.14,20,52.3,1947.0,34.2,1,1,221.6,0.16,3.06,142.05,20.179,0,0,1,7.039496506268894,0.14205561422034493,6.594444444444444,0.6,0.24882539682539684,0.7125,219.20992120521336,4.191394286906566
CAR069,15.96,10,17.7,2208.0,31.8,1,0,327.1,0.56,2.24,35.23,4.854,1,0,0,7.257931602801812,0.1377803008799319,2.1669642857142857,0.3,0.3453280423280423,0.6625,115.83658838071693,6.544440021509431
CAR188,2.76,20,60.2,1993.0,21.8,0,1,259.3,0.3,0.37,22.9,2.622,1,0,0,8.733790999237224,0.11449781659388647,7.0864864864864865,0.8,0.3174973544973545,0.0,24.105263157894736,0.40041965378562683
CAR159,35.67,20,68.3,3373.0,27.8,0,0,255.7,0.47,3.5,227.36,33.8865,1,0,0,6.709456568249894,0.14904336734693877,9.681857142857142,0.3,0.4611746031746032,0.0,239.3263157894737,3.5040456191723823
CAR140,14.26,10,45.3,2172.0,20.6,0,2,148.8,0.35,3.0,132.45,13.547,1,0,0,9.777072414556727,0.10228010570026426,4.515666666666667,1.3,0.3169470899470899,0.0,139.42105263157893,3.077727431160683
CAR050,20.34,20,58.6,2797.0,29.4,1,0,80.1,0.25,2.7,141.92,19.323,1,0,0,7.344615225379081,0.13615417136414884,7.156666666666666,0.3,0.3343015873015873,0.6124999999999999,149.38947368421051,2.5493084246452304
CAR068,31.05,20,36.2,2336.0,29.8,1,2,349.7,0.3,3.28,103.79,17.714,1,0,0,5.859207406571074,0.17067154831872047,5.400609756097561,1.3,0.2893862433862434,0.6208333333333333,181.92838997403186,5.025646131879332
CAR089,38.4,10,60.3,2604.0,14.4,0,1,383.9,0.75,2.25,135.91,18.35,1,0,0,7.406539509536784,0.13501581929217865,8.155555555555557,0.8,0.5134444444444445,0.0,284.4111171662125,4.716602274729892
CAR091,6.85,10,44.1,2257.0,14.4,0,1,86.3,0.82,1.15,51.23,6.507499999999999,1,0,0,7.87245485977718,0.12702518055826664,5.658695652173913,0.8,0.49284656084656087,0.0,53.92631578947368,1.2228189521422603
