Vehicle_ID,Fuel_Remaining_L,Ethanol_Blend,Speed_kmph,RPM,Temperature_C,AC,Traffic_Level,Road_Type,Vehicle_Load_kg,Acceleration,Driving_Time_hr,Distance_Travelled_km,Fuel_Consumed_L
CAR157,44.44,10,60.6,4044.0,38.1,1,2,Highway,321.1,0.19,1.5,92.99,12.664
CAR096,3.38,20,50.9,1840.0,36.2,0,2,Highway,428.7,0.44,0.46,22.11,3.211
CAR170,5.45,20,67.0,3629.0,16.6,1,1,City,224.0,0.27,2.43,166.75,5.1775
CAR020,37.12,20,47.7,1266.0,28.3,1,2,Highway,347.4,0.57,1.46,61.74,10.241
CAR025,27.96,20,56.9,4206.0,10.6,1,1,Highway,324.0,0.49,2.3,117.28,16.548
CAR171,33.88,10,75.2,2011.0,30.9,0,1,City,164.5,0.43,2.11,162.16,20.94
CAR128,25.39,10,46.6,2797.0,10.8,1,1,City,340.6,0.82,0.99,47.93,7.467
CAR116,20.2,20,41.9,2500.0,24.1,0,0,City,431.3,0.85,4.02,166.35,19.189999999999998
CAR055,21.09,20,,2600.0,24.9,1,1,Rural,128.3,0.23,4.49,171.01,20.0355
CAR120,24.94,0,40.5,2514.0,36.9,1,2,Highway,433.0,0.36,1.73,65.3,6.965
CAR033,18.98,85,54.6,1307.0,16.5,0,1,City,254.3,0.24,4.02,190.45,18.031
CAR163,15.33,10,37.1,1641.0,29.9,0,2,Rural,269.4,0.37,2.4,89.98,11.252
CAR131,12.05,20,40.7,700.0,32.6,1,1,Highway,100.7,0.77,2.02,69.98,10.333
CAR118,26.49,10,45.1,3542.0,27.2,0,1,Rural,346.5,0.11,0.8,37.3,4.443
CAR164,26.1,20,57.8,2714.0,29.4,0,2,Highway,280.4,0.21,2.19,117.88,18.458
CAR046,42.99,10,,2024.0,23.6,0,1,City,303.4,0.48,0.29,17.57,2.169
CAR041,34.38,85,42.0,1486.0,19.1,1,2,City,372.6,0.59,4.43,168.61,32.661
CAR119,19.42,20,52.2,2307.0,37.6,0,2,Highway,329.8,0.74,2.19,116.37,18.095
CAR163,44.03,0,62.3,3003.0,23.3,0,2,Highway,158.4,0.37,3.58,213.37,19.567
CAR092,44.69,10,17.9,2871.0,32.8,0,2,Highway,166.5,0.89,4.27,70.54,8.935
CAR064,6.32,0,83.0,,19.4,1,2,Rural,174.3,0.25,3.7,292.51,6.004
CAR054,6.39,10,29.2,2205.0,24.6,0,0,Highway,313.6,0.09,3.73,103.36,6.070499999999999
CAR028,42.35,85,62.9,,18.7,0,2,,342.8,0.7,2.86,153.23,40.2325
CAR084,9.0,20,49.1,2043.0,36.9,1,2,Rural,211.1,0.83,1.41,60.44,8.549999999999999
CAR116,7.39,10,77.8,2718.0,,1,1,City,329.6,0.54,2.55,173.81,7.020499999999999
CAR161,43.38,20,66.1,1761.0,23.5,1,0,City,310.8,0.15,1.22,69.94,9.608
CAR013,5.84,20,58.9,1223.0,26.8,0,2,Highway,424.2,0.37,0.86,46.96,5.548
CAR170,6.56,20,63.2,2688.0,,0,2,City,278.1,0.09,4.16,234.74,6.231999999999999
CAR191,7.26,20,56.5,2915.0,28.3,0,2,Highway,419.0,0.36,2.24,128.05,6.896999999999999
CAR100,28.03,0,57.4,2575.0,,1,0,City,387.6,0.69,3.49,203.4,24.162
CAR025,8.34,10,68.1,2201.0,22.6,1,1,Highway,208.8,0.77,3.52,229.82,7.922999999999999
CAR113,24.95,0,54.6,2080.0,24.9,1,2,Highway,276.8,0.64,1.36,67.45,7.171
CAR083,23.36,10,26.8,1692.0,38.9,0,1,Highway,132.8,0.83,2.32,60.33,8.297
CAR050,6.4,20,36.4,1863.0,39.6,1,0,Rural,210.0,0.69,1.39,51.66,6.08
CAR131,42.92,10,49.4,,36.7,0,1,Rural,314.9,0.1,1.31,58.6,6.502
CAR056,39.7,20,63.4,869.0,28.3,1,1,City,141.3,0.14,0.32,17.66,2.495
CAR092,37.92,85,65.9,1679.0,17.9,0,1,City,414.1,0.75,0.8,50.16,17.594
CAR086,29.85,20,5.0,2579.0,21.6,0,2,Rural,382.2,0.4,2.63,12.44,2.113
CAR155,39.9,0,31.5,2525.0,34.5,0,2,City,282.9,0.65,4.15,129.57,15.991
CAR030,38.31,0,46.5,805.0,22.7,1,1,Rural,137.9,0.37,1.74,70.78,5.573
CAR189,40.44,10,69.6,2444.0,20.8,0,0,Rural,444.9,0.52,2.48,147.13,15.498
CAR047,10.54,20,56.0,2349.0,19.6,0,0,City,253.8,0.07,4.04,225.16,10.012999999999998
CAR024,8.16,20,46.3,1819.0,17.8,0,1,City,282.5,0.7,4.17,201.36,7.752
CAR182,31.92,10,33.1,1768.0,30.5,1,1,City,283.8,0.49,2.96,85.4,11.533
CAR182,3.94,10,48.6,1805.0,26.6,0,1,Highway,211.7,0.07,4.13,178.6,3.743
CAR179,43.5,10,49.4,2280.0,26.9,1,0,City,291.8,0.88,2.76,125.63,15.563
CAR188,17.54,20,33.9,2222.0,40.7,0,1,City,75.1,0.53,4.43,154.51,16.662999999999997
CAR069,8.96,10,81.2,,20.5,0,1,Rural,147.7,0.71,3.92,322.92,8.512
CAR085,32.04,20,73.2,3819.0,27.6,0,1,,377.0,0.24,0.92,68.37,11.001
CAR170,26.21,10,20.3,1699.0,38.7,0,1,Highway,168.4,0.6,2.22,46.38,5.608
CAR037,24.47,10,80.5,1981.0,18.6,1,2,Rural,308.4,0.14,1.7,135.73,17.402
CAR171,5.3,0,28.4,2968.0,12.2,1,0,City,181.1,0.73,3.58,96.28,5.034999999999999
CAR185,34.94,0,81.6,1192.0,44.7,1,0,Highway,260.6,0.06,1.88,135.59,10.607
CAR166,2.55,10,47.9,2919.0,32.5,1,1,Rural,308.9,0.34,1.36,58.41,2.4225
CAR047,33.37,20,76.6,2396.0,30.0,1,2,Highway,268.4,0.85,3.05,236.07,31.701499999999996
CAR134,20.09,10,46.1,2495.0,31.1,1,1,City,,0.16,2.12,93.65,13.204
CAR170,2.75,10,43.0,2281.0,30.8,0,1,City,325.3,0.62,1.44,57.36,2.6125
CAR056,14.35,0,46.8,2704.0,15.9,0,1,City,358.6,0.3,2.82,135.53,13.632499999999999
CAR043,30.83,10,34.2,1713.0,22.2,1,1,City,277.4,0.58,4.34,137.08,18.349
CAR179,31.14,20,52.3,1947.0,34.2,1,1,Rural,221.6,0.16,3.06,142.05,20.179
CAR069,15.96,10,17.7,,31.8,1,0,City,327.1,0.56,2.24,35.23,4.854
CAR188,2.76,20,60.2,1993.0,21.8,0,1,City,,0.3,0.37,22.9,2.622
CAR159,35.67,20,68.3,3373.0,27.8,0,0,City,255.7,0.47,3.5,227.36,33.8865
CAR140,14.26,10,45.3,2172.0,20.6,0,2,City,148.8,0.35,3.0,132.45,13.546999999999999
CAR050,20.34,20,58.6,2797.0,29.4,1,0,City,80.1,0.25,2.7,141.92,19.323
CAR068,31.05,20,36.2,2336.0,29.8,1,2,City,349.7,0.3,3.28,103.79,17.714
CAR089,38.4,10,60.3,2604.0,14.4,0,1,City,383.9,0.75,2.25,135.91,18.35
CAR091,6.85,10,44.1,2257.0,14.4,0,1,City,86.3,0.82,1.15,51.23,6.507499999999999
CAR104,12.78,10,11.9,3369.0,31.4,1,0,City,286.0,0.16,4.27,48.03,6.308
CAR086,13.24,85,64.9,1499.0,31.9,1,2,City,263.5,0.76,1.07,70.81,12.578
CAR029,33.36,10,104.7,2093.0,25.8,0,1,Highway,,0.09,0.42,44.1,4.521
CAR069,25.35,20,64.2,2337.0,14.2,1,2,City,362.4,0.86,3.84,253.93,24.0825
CAR050,43.38,85,100.1,1767.0,27.4,0,1,City,315.7,0.52,1.72,151.25,41.211
CAR047,25.09,20,34.5,2694.0,34.2,0,1,Rural,299.6,0.45,0.65,22.71,3.537
CAR145,9.44,20,74.2,1845.0,13.9,0,1,Highway,337.6,0.22,0.33,22.3,3.078
CAR151,29.45,10,56.0,2273.0,40.4,1,0,Rural,395.5,0.77,2.89,147.79,21.951
CAR011,36.06,10,40.1,2271.0,25.9,0,2,Highway,224.6,0.6,3.6,145.49,18.636
CAR052,14.33,0,71.0,1290.0,32.9,0,1,City,209.5,0.39,0.98,66.43,6.253
CAR103,33.84,0,56.7,1693.0,33.5,1,0,Rural,161.5,0.37,1.55,87.51,7.171
CAR067,16.22,20,26.6,2820.0,38.4,1,0,City,313.0,0.75,0.5,12.76,2.276
CAR178,21.96,20,35.6,3070.0,29.7,0,1,Highway,238.3,0.27,4.29,143.07,20.063
CAR065,7.53,10,65.1,2156.0,19.0,1,1,City,297.9,0.48,3.23,195.13,7.1535
CAR009,33.29,10,61.1,3085.0,34.2,1,2,Rural,260.2,0.32,2.63,142.46,19.648
CAR075,18.6,85,32.2,2624.0,26.2,0,1,Highway,366.5,0.17,1.53,46.97,14.774
CAR062,31.13,20,52.8,2508.0,33.5,1,0,Highway,445.0,0.45,2.48,128.58,17.587
CAR053,44.67,20,39.4,2191.0,39.3,0,0,City,350.0,0.48,3.65,132.05,21.537
CAR109,12.64,10,24.7,700.0,24.5,1,1,City,,0.43,1.36,29.14,3.717
CAR086,25.21,0,65.9,1608.0,18.4,0,0,City,198.0,0.67,3.01,171.23,14.804
CAR154,29.17,20,45.3,2471.0,26.6,0,1,,391.5,0.75,2.13,84.42,13.056
CAR054,31.99,20,41.6,2924.0,19.6,0,0,City,347.9,0.49,2.55,103.26,17.329
CAR040,42.1,20,75.4,2005.0,17.2,0,2,Rural,265.7,0.5,1.09,78.33,12.671
CAR113,38.92,0,86.9,3078.0,28.4,0,0,Highway,253.2,0.52,0.9,78.17,6.541
CAR123,37.47,0,53.4,1403.0,36.1,1,0,Highway,82.1,0.58,3.98,185.57,14.345
CAR083,32.95,0,73.1,1370.0,,0,0,City,317.9,0.13,2.0,147.39,10.65
CAR071,31.61,20,58.0,1709.0,30.3,0,0,Highway,376.9,0.17,1.47,89.21,10.571
CAR177,39.71,85,49.9,2147.0,,1,1,City,207.4,0.38,4.27,223.57,37.7245
CAR112,22.07,20,19.3,2005.0,29.6,1,2,Highway,,0.4,4.07,75.96,11.477
CAR146,44.72,0,34.0,1942.0,31.6,0,1,Highway,278.3,0.86,4.18,130.94,11.949
CAR094,7.24,10,32.3,2163.0,26.9,1,2,Highway,168.3,0.11,3.97,118.86,6.878
CAR142,39.1,20,36.4,1702.0,37.3,0,0,City,271.5,0.27,2.24,83.43,11.494
CAR139,32.62,10,19.6,3376.0,35.9,0,2,Rural,314.1,0.22,1.4,25.47,3.694
CAR011,27.89,20,409.23354283843986,1266.0,21.4,0,2,Rural,178.3,0.83,2.72,222.34,26.4955
CAR034,4.86,20,50.7,2089.0,33.2,0,1,Rural,139.9,0.31,1.49,74.99,4.617
CAR186,40.31,20,25.5,2028.0,26.9,1,0,Rural,281.3,0.8,0.7,16.06,2.444
CAR146,41.19,20,42.8,2287.0,22.1,1,1,City,219.6,0.58,2.62,101.27,17.808
CAR018,2.43,20,42.3,1594.0,31.5,0,2,City,377.0,0.8,1.2,50.98,2.3085
CAR079,18.13,20,42.4,2792.0,20.7,0,0,Highway,252.1,0.58,2.15,92.68,12.007
CAR188,21.71,20,95.3,2542.0,40.6,1,2,City,275.2,0.11,1.19,106.35,18.801
CAR113,16.19,10,66.3,1910.0,30.2,0,0,Highway,336.4,0.68,0.45,25.55,2.737
CAR072,25.8,10,32.4,2138.0,30.1,0,0,City,320.4,0.15,4.03,114.39,13.367
CAR125,44.34,20,33.5,2444.0,20.5,0,0,Rural,428.4,0.11,3.32,94.63,12.096
CAR090,26.02,10,35.7,811.0,12.2,0,2,City,144.5,0.63,2.37,73.88,10.474
CAR195,8.58,20,61.1,2242.0,24.8,0,2,City,295.4,0.73,2.56,139.98,8.151
CAR093,23.71,20,23.6,3287.0,26.5,0,1,City,404.2,0.13,1.36,28.57,4.524
CAR110,41.66,20,32.1,2340.0,22.8,1,1,Highway,332.3,0.79,1.37,43.44,6.832
CAR039,6.76,85,57.0,2380.0,26.9,1,1,Highway,298.8,0.42,3.9,222.99,6.422
CAR037,40.85,85,53.6,2561.0,19.2,1,0,Highway,102.4,0.35,1.57,72.67,22.322
CAR016,43.31,10,38.5,2819.0,22.7,0,1,City,246.0,0.65,0.7,26.96,3.682
CAR032,13.87,85,78.6,1932.0,32.5,1,2,Highway,172.2,0.66,3.55,251.1,13.176499999999999
CAR078,35.65,10,17.6,2592.0,29.4,1,2,City,258.2,0.47,4.14,75.62,11.704
CAR056,19.53,10,72.8,1501.0,32.3,0,1,Highway,333.8,0.84,2.24,169.92,18.422
CAR039,16.32,10,66.5,3043.0,16.4,0,2,City,228.8,0.17,3.79,253.21,15.504
CAR017,42.91,10,26.7,1958.0,32.2,0,1,,403.9,0.43,2.15,57.64,6.936
CAR069,15.73,85,50.5,1715.0,34.0,1,2,City,274.2,0.35,1.03,49.01,14.9435
CAR078,17.38,20,49.5,2296.0,23.2,0,2,Highway,234.2,0.2,0.32,15.65,2.194
CAR155,38.75,10,38.2,1943.0,39.5,0,1,Rural,187.5,0.73,1.74,63.08,8.126
CAR054,6.09,20,30.4,2104.0,15.5,1,2,Highway,353.5,0.84,2.46,68.87,5.7855
CAR124,27.84,20,15.1,1995.0,24.8,1,2,,264.3,0.58,2.33,35.37,6.128
CAR160,4.41,10,28.3,1207.0,30.6,1,1,City,278.6,0.17,0.86,20.89,2.449
CAR096,21.08,10,59.1,2455.0,18.6,0,1,Rural,267.2,0.68,0.29,15.68,2.002
CAR037,4.65,10,61.3,2814.0,28.8,0,2,Highway,333.8,0.56,2.79,146.24,4.4175
CAR008,44.81,85,72.4,1379.0,26.5,1,0,City,286.2,0.83,2.01,128.33,42.5695
CAR096,13.59,20,38.6,1913.0,28.8,1,2,City,437.7,0.65,0.45,17.0,3.275
CAR186,26.84,20,37.8,,33.0,0,0,,440.6,0.22,2.75,92.2,11.596
CAR157,36.19,20,19.8,2141.0,32.9,1,1,City,241.7,0.07,4.08,84.78,12.888
CAR188,42.67,20,61.6,1865.0,16.5,1,0,Rural,76.4,0.27,0.56,32.23,4.049
CAR030,34.9,20,63.9,1884.0,48.0,0,0,City,310.1,0.9,1.92,105.59,19.7
CAR115,22.84,0,19.4,2026.0,6.6,1,0,Rural,363.7,0.51,2.31,46.82,4.255
CAR011,11.88,20,,2943.0,22.4,0,2,Rural,225.9,0.43,3.94,219.38,11.286
CAR019,34.19,10,59.0,2427.0,33.8,1,1,City,137.6,0.18,3.0,174.85,21.575
CAR007,41.24,10,37.7,3140.0,24.9,0,0,City,235.0,0.85,0.28,9.44,1.298
CAR067,14.25,85,60.3,2772.0,33.6,0,2,Highway,433.4,0.65,3.8,236.89,13.5375
CAR100,44.83,20,45.5,2122.0,31.5,0,2,Rural,432.3,0.35,1.71,70.46,11.765
CAR009,20.26,20,38.4,2225.0,23.7,1,1,City,346.4,0.61,3.75,128.13,19.247
CAR117,19.0,20,38.2,2173.0,18.0,0,2,City,125.0,0.07,0.6,20.18,3.062
CAR027,24.8,85,54.6,2518.0,26.5,1,2,City,242.2,0.55,2.67,133.81,23.56
CAR089,33.48,20,38.7,2071.0,28.5,1,1,City,268.6,0.41,1.5,51.52,8.309
CAR001,28.63,20,37.4,3024.0,32.3,1,1,,251.9,0.07,1.36,52.34,8.319
CAR138,37.87,85,43.7,2135.0,25.0,0,2,City,230.7,0.4,1.24,47.9,16.666
CAR125,24.08,10,62.2,2375.0,48.0,0,2,City,141.5,0.31,3.25,201.67,22.875999999999998
CAR025,2.95,20,58.9,1385.0,17.6,1,2,City,419.1,0.87,2.86,166.48,2.8025
CAR077,26.19,10,37.0,2418.0,28.3,0,2,Highway,431.1,0.51,3.79,123.45,15.473
CAR171,16.34,10,15.3,2241.0,45.1,1,1,Highway,344.5,0.84,3.34,53.6,8.505
CAR017,17.33,85,50.3,1831.0,,1,0,Highway,201.1,0.51,3.23,165.56,16.463499999999996
CAR015,40.79,20,15.0,1484.0,21.4,0,2,Highway,81.8,0.75,4.42,67.45,9.569
CAR083,29.05,10,63.4,700.0,35.1,0,2,,119.9,0.19,0.69,40.44,4.444
CAR167,29.78,0,67.8,2631.0,24.0,1,2,,113.1,0.84,4.28,263.11,28.291
CAR088,8.44,85,53.9,2889.0,23.0,0,2,City,217.6,0.42,1.24,59.84,8.017999999999999
CAR189,32.01,85,58.4,2096.0,37.9,1,2,City,419.0,0.47,1.07,58.91,22.253
CAR084,24.13,20,45.6,2010.0,20.0,0,1,City,313.5,0.08,2.1,92.0,13.288
CAR161,43.13,20,37.7,1981.0,34.2,1,1,Rural,72.0,0.86,2.25,78.92,13.645
CAR074,36.81,0,64.7,2172.0,33.6,1,0,City,188.2,0.12,2.45,147.63,13.268
CAR168,42.6,10,43.6,2835.0,22.9,1,0,Highway,85.2,0.39,2.54,114.6,10.791
CAR107,43.18,0,60.1,1331.0,27.2,0,2,City,183.9,0.2,0.44,26.52,2.818
CAR197,24.42,10,49.0,2148.0,21.5,0,0,City,259.5,0.28,2.84,145.9,17.013
CAR006,12.57,10,29.7,1779.0,,0,1,Highway,322.6,0.54,2.32,69.3,7.569
CAR067,37.31,10,50.4,1922.0,26.2,0,0,City,108.7,0.85,3.82,168.86,21.626
CAR025,13.02,20,69.9,2871.0,39.9,1,0,Rural,113.1,0.57,2.4,152.05,12.369
CAR088,30.74,10,56.7,2483.0,44.3,0,1,City,410.5,0.49,0.69,39.82,6.447
CAR182,33.27,20,92.5,1610.0,29.1,0,1,Highway,210.9,0.14,0.51,41.3,5.373
CAR120,9.13,20,68.4,1823.0,34.2,1,2,Rural,399.8,0.28,0.98,67.32,8.6735
CAR063,43.93,20,40.3,2252.0,19.9,1,0,Rural,368.6,0.36,1.93,78.84,11.826
CAR117,10.1,20,38.3,2940.0,32.5,0,0,Highway,322.9,0.15,2.01,67.53,8.686
CAR152,21.08,20,52.6,1964.0,18.9,1,0,City,306.7,0.12,2.66,134.24,18.672
CAR002,37.49,10,46.4,2705.0,40.3,0,0,City,329.2,0.66,0.58,26.12,3.653
CAR123,23.27,0,39.1,2717.0,18.5,0,0,City,166.4,0.43,4.19,143.44,11.284
CAR092,9.3,0,62.9,2769.0,23.5,0,0,City,190.5,0.54,1.91,105.67,8.835
CAR124,35.98,20,62.4,2404.0,18.7,0,0,Rural,285.0,0.54,3.22,177.01,28.593
CAR179,16.46,20,62.4,2966.0,32.9,0,2,Highway,,0.15,1.2,75.97,10.484
CAR030,28.37,20,68.8,3139.0,27.9,0,0,Highway,309.5,0.54,3.91,233.47,26.9515
CAR170,36.16,85,37.1,3400.0,23.7,1,1,Highway,346.1,0.67,2.3,78.35,26.865
CAR179,31.5,20,53.3,1454.0,33.5,1,1,City,398.2,0.42,3.78,204.93,29.924999999999997
CAR192,5.35,20,44.6,2131.0,15.8,0,2,City,146.0,0.42,3.19,137.53,5.0825
CAR097,20.74,20,53.9,1334.0,27.9,0,0,Highway,219.7,0.16,4.0,225.29,19.702999999999996
CAR039,4.48,10,5.0,2402.0,22.2,1,0,Highway,157.9,0.68,0.5,2.3,0.241
CAR174,11.28,10,68.9,2405.0,48.0,1,0,Highway,235.3,0.13,3.58,214.18,10.716
CAR081,27.71,0,35.5,3231.0,32.9,0,0,Highway,322.5,0.66,0.29,10.33,0.868
CAR028,14.26,0,12.3,1164.0,34.4,1,2,Rural,325.4,0.61,3.65,45.39,5.002
CAR140,37.31,20,47.9,3113.0,32.5,1,2,City,323.3,0.58,0.82,40.99,7.589
CAR179,40.54,10,54.4,,35.7,0,2,City,338.0,0.56,3.23,169.49,23.27
CAR145,9.76,10,54.9,1957.0,20.4,0,1,Highway,433.1,0.24,2.43,125.24,9.272
CAR099,33.9,20,46.1,1280.0,18.1,0,2,City,124.8,0.86,3.54,148.5,26.013
CAR076,35.38,20,59.5,1506.0,10.8,0,1,City,221.9,0.68,2.57,155.9,25.218
CAR108,32.6,10,81.4,2539.0,24.3,0,2,Rural,211.3,0.49,0.64,46.39,5.594
CAR163,23.74,0,41.5,1443.0,26.4,0,1,Rural,295.0,0.63,2.56,111.24,9.389
CAR019,13.08,10,31.8,1820.0,34.0,1,1,City,423.3,0.35,3.85,119.69,12.426
CAR200,16.42,10,65.3,2124.0,31.3,0,1,Highway,90.1,0.45,3.51,211.11,15.599
CAR126,3.76,10,43.7,3467.0,31.0,1,0,Highway,304.6,0.22,0.81,35.71,3.5719999999999996
CAR104,31.97,0,42.4,1941.0,39.8,0,2,Rural,111.3,0.11,3.07,127.83,11.822
CAR168,3.93,20,57.3,754.0,30.4,0,0,,361.5,0.63,1.31,73.77,3.7335
CAR119,19.36,10,58.8,2282.0,35.2,0,0,City,334.1,0.69,4.07,211.0,18.392
CAR004,5.34,85,48.6,2509.0,40.1,0,1,City,192.9,0.13,4.21,204.73,5.0729999999999995
CAR133,33.7,10,79.2,2869.0,24.5,1,1,Rural,108.3,0.49,2.97,246.85,30.488
CAR021,9.69,0,66.3,1490.0,21.2,0,0,Highway,109.7,0.84,2.23,141.79,9.205499999999999
CAR154,3.26,10,75.1,2815.0,33.5,0,2,City,214.9,0.81,2.67,183.52,3.0969999999999995
CAR090,42.96,20,96.6,2081.0,37.1,1,2,City,378.6,0.21,0.29,24.47,4.698
CAR159,14.28,20,49.8,2200.0,34.0,0,2,Highway,227.9,0.88,1.81,83.09,13.403
CAR152,12.51,20,49.7,2785.0,31.8,1,1,Highway,89.7,0.15,3.15,143.49,11.8845
CAR005,34.86,10,41.5,1249.0,27.6,0,0,City,282.9,0.59,1.75,75.29,8.999
CAR084,41.89,10,70.7,2379.0,23.9,0,2,Rural,129.6,0.19,0.74,47.03,5.926
CAR104,16.07,10,64.8,10135.649443395512,31.2,0,1,City,317.8,0.73,1.3,80.9,11.375
CAR102,30.85,10,61.1,2665.0,24.7,0,1,Rural,,0.68,1.57,81.83,9.982
CAR010,17.79,20,40.1,968.0,19.3,1,0,City,102.5,0.27,0.23,8.96,1.277
CAR067,17.83,20,49.4,3214.0,19.3,1,2,Highway,386.3,0.71,2.01,93.25,15.937
CAR084,25.5,20,58.5,3131.0,35.2,1,0,Highway,404.1,0.86,1.54,82.57,12.673
CAR095,8.72,10,70.0,700.0,24.5,1,1,Highway,250.1,0.4,3.06,195.26,8.284
CAR034,19.53,20,63.4,2838.0,31.7,1,1,Rural,311.9,0.45,3.26,181.49,18.5535
CAR158,36.74,10,57.5,2251.0,31.0,0,0,City,152.2,0.08,1.02,54.34,5.842
CAR054,24.03,10,74.1,1601.0,10.6,0,1,Rural,127.9,0.39,2.58,173.3,20.419
CAR013,24.1,20,58.5,1699.0,41.8,0,2,Highway,263.5,0.09,1.46,84.3,13.21
